holiday_description,state,date
Labor Day,PW,2013-09-02
Columbus Day,PW,2013-10-14
Veterans Day,PW,2013-11-11
Thanksgiving,PW,2013-11-28
Christmas Day,PW,2013-12-25
New Year's Day,PW,2014-01-01
Martin Luther King Jr. Day,PW,2014-01-20
Washington's Birthday,PW,2014-02-17
Memorial Day,PW,2014-05-26
Independence Day,PW,2014-07-04
Labor Day,PW,2014-09-01
Columbus Day,PW,2014-10-13
Veterans Day,PW,2014-11-11
Thanksgiving,PW,2014-11-27
Christmas Day,PW,2014-12-25
New Year's Day,PW,2015-01-01
Martin Luther King Jr. Day,PW,2015-01-19
Washington's Birthday,PW,2015-02-16
Memorial Day,PW,2015-05-25
Independence Day (Observed),PW,2015-07-03
Independence Day,PW,2015-07-04
Labor Day,PW,2015-09-07
Columbus Day,PW,2015-10-12
Veterans Day,PW,2015-11-11
Thanksgiving,PW,2015-11-26
Christmas Day,PW,2015-12-25
New Year's Day,PW,2016-01-01
Martin Luther King Jr. Day,PW,2016-01-18
Washington's Birthday,PW,2016-02-15
Memorial Day,PW,2016-05-30
Independence Day,PW,2016-07-04
Labor Day,PW,2016-09-05
Columbus Day,PW,2016-10-10
Veterans Day,PW,2016-11-11
Thanksgiving,PW,2016-11-24
Christmas Day,PW,2016-12-25
Christmas Day (Observed),PW,2016-12-26
New Year's Day,PW,2017-01-01
New Year's Day (Observed),PW,2017-01-02
Martin Luther King Jr. Day,PW,2017-01-16
Washington's Birthday,PW,2017-02-20
Memorial Day,PW,2017-05-29
Independence Day,PW,2017-07-04
Labor Day,PW,2017-09-04
Columbus Day,PW,2017-10-09
Veterans Day (Observed),PW,2017-11-10
Veterans Day,PW,2017-11-11
Thanksgiving,PW,2017-11-23
Christmas Day,PW,2017-12-25
New Year's Day,PW,2018-01-01
Martin Luther King Jr. Day,PW,2018-01-15
Washington's Birthday,PW,2018-02-19
Memorial Day,PW,2018-05-28
Independence Day,PW,2018-07-04
Labor Day,PW,2018-09-03
Columbus Day,PW,2018-10-08
Veterans Day,PW,2018-11-11
Veterans Day (Observed),PW,2018-11-12
Thanksgiving,PW,2018-11-22
Christmas Day,PW,2018-12-25
New Year's Day,PW,2019-01-01
Martin Luther King Jr. Day,PW,2019-01-21
Washington's Birthday,PW,2019-02-18
Memorial Day,PW,2019-05-27
Independence Day,PW,2019-07-04
Labor Day,PW,2019-09-02
Columbus Day,PW,2019-10-14
Veterans Day,PW,2019-11-11
Thanksgiving,PW,2019-11-28
Christmas Day,PW,2019-12-25
New Year's Day,PW,2020-01-01
Martin Luther King Jr. Day,PW,2020-01-20
Washington's Birthday,PW,2020-02-17
Memorial Day,PW,2020-05-25
Independence Day (Observed),PW,2020-07-03
Independence Day,PW,2020-07-04
Labor Day,PW,2020-09-07
Columbus Day,PW,2020-10-12
Veterans Day,PW,2020-11-11
Thanksgiving,PW,2020-11-26
Christmas Day,PW,2020-12-25
New Year's Day,RI,2013-01-01
Martin Luther King Jr. Day,RI,2013-01-21
Washington's Birthday,RI,2013-02-18
Memorial Day,RI,2013-05-27
Independence Day,RI,2013-07-04
Victory Day,RI,2013-08-12
Labor Day,RI,2013-09-02
Columbus Day,RI,2013-10-14
Veterans Day,RI,2013-11-11
Thanksgiving,RI,2013-11-28
Christmas Day,RI,2013-12-25
New Year's Day,RI,2014-01-01
Martin Luther King Jr. Day,RI,2014-01-20
Washington's Birthday,RI,2014-02-17
Memorial Day,RI,2014-05-26
Independence Day,RI,2014-07-04
Victory Day,RI,2014-08-11
Labor Day,RI,2014-09-01
Columbus Day,RI,2014-10-13
Veterans Day,RI,2014-11-11
Thanksgiving,RI,2014-11-27
Christmas Day,RI,2014-12-25
New Year's Day,RI,2015-01-01
Martin Luther King Jr. Day,RI,2015-01-19
Washington's Birthday,RI,2015-02-16
Memorial Day,RI,2015-05-25
Independence Day (Observed),RI,2015-07-03
Independence Day,RI,2015-07-04
Victory Day,RI,2015-08-10
Labor Day,RI,2015-09-07
Columbus Day,RI,2015-10-12
Veterans Day,RI,2015-11-11
Thanksgiving,RI,2015-11-26
Christmas Day,RI,2015-12-25
New Year's Day,RI,2016-01-01
Martin Luther King Jr. Day,RI,2016-01-18
Washington's Birthday,RI,2016-02-15
Memorial Day,RI,2016-05-30
Independence Day,RI,2016-07-04
Victory Day,RI,2016-08-08
Labor Day,RI,2016-09-05
Columbus Day,RI,2016-10-10
Veterans Day,RI,2016-11-11
Thanksgiving,RI,2016-11-24
Christmas Day,RI,2016-12-25
Christmas Day (Observed),RI,2016-12-26
New Year's Day,RI,2017-01-01
New Year's Day (Observed),RI,2017-01-02
Martin Luther King Jr. Day,RI,2017-01-16
Washington's Birthday,RI,2017-02-20
Memorial Day,RI,2017-05-29
Independence Day,RI,2017-07-04
Victory Day,RI,2017-08-14
Labor Day,RI,2017-09-04
Columbus Day,RI,2017-10-09
Veterans Day (Observed),RI,2017-11-10
Veterans Day,RI,2017-11-11
Thanksgiving,RI,2017-11-23
Christmas Day,RI,2017-12-25
New Year's Day,RI,2018-01-01
Martin Luther King Jr. Day,RI,2018-01-15
Washington's Birthday,RI,2018-02-19
Memorial Day,RI,2018-05-28
Independence Day,RI,2018-07-04
Victory Day,RI,2018-08-13
Labor Day,RI,2018-09-03
Columbus Day,RI,2018-10-08
Veterans Day,RI,2018-11-11
Veterans Day (Observed),RI,2018-11-12
Thanksgiving,RI,2018-11-22
Christmas Day,RI,2018-12-25
New Year's Day,RI,2019-01-01
Martin Luther King Jr. Day,RI,2019-01-21
Washington's Birthday,RI,2019-02-18
Memorial Day,RI,2019-05-27
Independence Day,RI,2019-07-04
Victory Day,RI,2019-08-12
Labor Day,RI,2019-09-02
Columbus Day,RI,2019-10-14
Veterans Day,RI,2019-11-11
Thanksgiving,RI,2019-11-28
Christmas Day,RI,2019-12-25
New Year's Day,RI,2020-01-01
Martin Luther King Jr. Day,RI,2020-01-20
Washington's Birthday,RI,2020-02-17
Memorial Day,RI,2020-05-25
Independence Day (Observed),RI,2020-07-03
Independence Day,RI,2020-07-04
Victory Day,RI,2020-08-10
Labor Day,RI,2020-09-07
Columbus Day,RI,2020-10-12
Veterans Day,RI,2020-11-11
Thanksgiving,RI,2020-11-26
Christmas Day,RI,2020-12-25
New Year's Day,SC,2013-01-01
Martin Luther King Jr. Day,SC,2013-01-21
Washington's Birthday,SC,2013-02-18
Confederate Memorial Day,SC,2013-04-22
Memorial Day,SC,2013-05-27
Independence Day,SC,2013-07-04
Labor Day,SC,2013-09-02
Columbus Day,SC,2013-10-14
Veterans Day,SC,2013-11-11
Thanksgiving,SC,2013-11-28
Christmas Day,SC,2013-12-25
New Year's Day,SC,2014-01-01
Martin Luther King Jr. Day,SC,2014-01-20
Washington's Birthday,SC,2014-02-17
Confederate Memorial Day,SC,2014-04-28
Memorial Day,SC,2014-05-26
Independence Day,SC,2014-07-04
Labor Day,SC,2014-09-01
Columbus Day,SC,2014-10-13
Veterans Day,SC,2014-11-11
Thanksgiving,SC,2014-11-27
Christmas Day,SC,2014-12-25
New Year's Day,SC,2015-01-01
Martin Luther King Jr. Day,SC,2015-01-19
Washington's Birthday,SC,2015-02-16
Confederate Memorial Day,SC,2015-04-27
Memorial Day,SC,2015-05-25
Independence Day (Observed),SC,2015-07-03
Independence Day,SC,2015-07-04
Labor Day,SC,2015-09-07
Columbus Day,SC,2015-10-12
Veterans Day,SC,2015-11-11
Thanksgiving,SC,2015-11-26
Christmas Day,SC,2015-12-25
New Year's Day,SC,2016-01-01
Martin Luther King Jr. Day,SC,2016-01-18
Washington's Birthday,SC,2016-02-15
Confederate Memorial Day,SC,2016-04-25
Memorial Day,SC,2016-05-30
Independence Day,SC,2016-07-04
Labor Day,SC,2016-09-05
Columbus Day,SC,2016-10-10
Veterans Day,SC,2016-11-11
Thanksgiving,SC,2016-11-24
Christmas Day,SC,2016-12-25
Christmas Day (Observed),SC,2016-12-26
New Year's Day,SC,2017-01-01
New Year's Day (Observed),SC,2017-01-02
Martin Luther King Jr. Day,SC,2017-01-16
Washington's Birthday,SC,2017-02-20
Confederate Memorial Day,SC,2017-04-24
Memorial Day,SC,2017-05-29
Independence Day,SC,2017-07-04
Labor Day,SC,2017-09-04
Columbus Day,SC,2017-10-09
Veterans Day (Observed),SC,2017-11-10
Veterans Day,SC,2017-11-11
Thanksgiving,SC,2017-11-23
Christmas Day,SC,2017-12-25
New Year's Day,SC,2018-01-01
Martin Luther King Jr. Day,SC,2018-01-15
Washington's Birthday,SC,2018-02-19
Confederate Memorial Day,SC,2018-04-23
Memorial Day,SC,2018-05-28
Independence Day,SC,2018-07-04
Labor Day,SC,2018-09-03
Columbus Day,SC,2018-10-08
Veterans Day,SC,2018-11-11
Veterans Day (Observed),SC,2018-11-12
Thanksgiving,SC,2018-11-22
Christmas Day,SC,2018-12-25
New Year's Day,SC,2019-01-01
Martin Luther King Jr. Day,SC,2019-01-21
Washington's Birthday,SC,2019-02-18
Confederate Memorial Day,SC,2019-04-22
Memorial Day,SC,2019-05-27
Independence Day,SC,2019-07-04
Labor Day,SC,2019-09-02
Columbus Day,SC,2019-10-14
Veterans Day,SC,2019-11-11
Thanksgiving,SC,2019-11-28
Christmas Day,SC,2019-12-25
New Year's Day,SC,2020-01-01
Martin Luther King Jr. Day,SC,2020-01-20
Washington's Birthday,SC,2020-02-17
Confederate Memorial Day,SC,2020-04-27
Memorial Day,SC,2020-05-25
Independence Day (Observed),SC,2020-07-03
Independence Day,SC,2020-07-04
Labor Day,SC,2020-09-07
Columbus Day,SC,2020-10-12
Veterans Day,SC,2020-11-11
Thanksgiving,SC,2020-11-26
Christmas Day,SC,2020-12-25
New Year's Day,SD,2013-01-01
Martin Luther King Jr. Day,SD,2013-01-21
Washington's Birthday,SD,2013-02-18
Memorial Day,SD,2013-05-27
Independence Day,SD,2013-07-04
Labor Day,SD,2013-09-02
Native American Day,SD,2013-10-14
Veterans Day,SD,2013-11-11
Thanksgiving,SD,2013-11-28
Christmas Day,SD,2013-12-25
New Year's Day,SD,2014-01-01
Martin Luther King Jr. Day,SD,2014-01-20
Washington's Birthday,SD,2014-02-17
Memorial Day,SD,2014-05-26
Independence Day,SD,2014-07-04
Labor Day,SD,2014-09-01
Native American Day,SD,2014-10-13
Veterans Day,SD,2014-11-11
Thanksgiving,SD,2014-11-27
Christmas Day,SD,2014-12-25
New Year's Day,SD,2015-01-01
Martin Luther King Jr. Day,SD,2015-01-19
Washington's Birthday,SD,2015-02-16
Memorial Day,SD,2015-05-25
Independence Day (Observed),SD,2015-07-03
Independence Day,SD,2015-07-04
Labor Day,SD,2015-09-07
Native American Day,SD,2015-10-12
Veterans Day,SD,2015-11-11
Thanksgiving,SD,2015-11-26
Christmas Day,SD,2015-12-25
New Year's Day,SD,2016-01-01
Martin Luther King Jr. Day,SD,2016-01-18
Washington's Birthday,SD,2016-02-15
Memorial Day,SD,2016-05-30
Independence Day,SD,2016-07-04
Labor Day,SD,2016-09-05
Native American Day,SD,2016-10-10
Veterans Day,SD,2016-11-11
Thanksgiving,SD,2016-11-24
Christmas Day,SD,2016-12-25
Christmas Day (Observed),SD,2016-12-26
New Year's Day,SD,2017-01-01
New Year's Day (Observed),SD,2017-01-02
Martin Luther King Jr. Day,SD,2017-01-16
Washington's Birthday,SD,2017-02-20
Memorial Day,SD,2017-05-29
Independence Day,SD,2017-07-04
Labor Day,SD,2017-09-04
Native American Day,SD,2017-10-09
Veterans Day (Observed),SD,2017-11-10
Veterans Day,SD,2017-11-11
Thanksgiving,SD,2017-11-23
Christmas Day,SD,2017-12-25
New Year's Day,SD,2018-01-01
Martin Luther King Jr. Day,SD,2018-01-15
Washington's Birthday,SD,2018-02-19
Memorial Day,SD,2018-05-28
Independence Day,SD,2018-07-04
Labor Day,SD,2018-09-03
Native American Day,SD,2018-10-08
Veterans Day,SD,2018-11-11
Veterans Day (Observed),SD,2018-11-12
Thanksgiving,SD,2018-11-22
Christmas Day,SD,2018-12-25
New Year's Day,SD,2019-01-01
Martin Luther King Jr. Day,SD,2019-01-21
Washington's Birthday,SD,2019-02-18
Memorial Day,SD,2019-05-27
Independence Day,SD,2019-07-04
Labor Day,SD,2019-09-02
Native American Day,SD,2019-10-14
Veterans Day,SD,2019-11-11
Thanksgiving,SD,2019-11-28
Christmas Day,SD,2019-12-25
New Year's Day,SD,2020-01-01
Martin Luther King Jr. Day,SD,2020-01-20
Washington's Birthday,SD,2020-02-17
Memorial Day,SD,2020-05-25
Independence Day (Observed),SD,2020-07-03
Independence Day,SD,2020-07-04
Labor Day,SD,2020-09-07
Native American Day,SD,2020-10-12
Veterans Day,SD,2020-11-11
Thanksgiving,SD,2020-11-26
Christmas Day,SD,2020-12-25
New Year's Day,TN,2013-01-01
Martin Luther King Jr. Day,TN,2013-01-21
Washington's Birthday,TN,2013-02-18
Good Friday,TN,2013-03-29
Memorial Day,TN,2013-05-27
Independence Day,TN,2013-07-04
Labor Day,TN,2013-09-02
Columbus Day,TN,2013-10-14
Veterans Day,TN,2013-11-11
Thanksgiving,TN,2013-11-28
Christmas Day,TN,2013-12-25
New Year's Day,TN,2014-01-01
Martin Luther King Jr. Day,TN,2014-01-20
Washington's Birthday,TN,2014-02-17
Good Friday,TN,2014-04-18
Memorial Day,TN,2014-05-26
Independence Day,TN,2014-07-04
Labor Day,TN,2014-09-01
Columbus Day,TN,2014-10-13
Veterans Day,TN,2014-11-11
Thanksgiving,TN,2014-11-27
Christmas Day,TN,2014-12-25
New Year's Day,TN,2015-01-01
Martin Luther King Jr. Day,TN,2015-01-19
Washington's Birthday,TN,2015-02-16
Good Friday,TN,2015-04-03
Memorial Day,TN,2015-05-25
Independence Day (Observed),TN,2015-07-03
Independence Day,TN,2015-07-04
Labor Day,TN,2015-09-07
Columbus Day,TN,2015-10-12
Veterans Day,TN,2015-11-11
Thanksgiving,TN,2015-11-26
Christmas Day,TN,2015-12-25
New Year's Day,TN,2016-01-01
Martin Luther King Jr. Day,TN,2016-01-18
Washington's Birthday,TN,2016-02-15
Good Friday,TN,2016-03-25
Memorial Day,TN,2016-05-30
Independence Day,TN,2016-07-04
Labor Day,TN,2016-09-05
Columbus Day,TN,2016-10-10
Veterans Day,TN,2016-11-11
Thanksgiving,TN,2016-11-24
Christmas Day,TN,2016-12-25
Christmas Day (Observed),TN,2016-12-26
New Year's Day,TN,2017-01-01
New Year's Day (Observed),TN,2017-01-02
Martin Luther King Jr. Day,TN,2017-01-16
Washington's Birthday,TN,2017-02-20
Good Friday,TN,2017-04-14
Memorial Day,TN,2017-05-29
Independence Day,TN,2017-07-04
Labor Day,TN,2017-09-04
Columbus Day,TN,2017-10-09
Veterans Day (Observed),TN,2017-11-10
Veterans Day,TN,2017-11-11
Thanksgiving,TN,2017-11-23
Christmas Day,TN,2017-12-25
New Year's Day,TN,2018-01-01
Martin Luther King Jr. Day,TN,2018-01-15
Washington's Birthday,TN,2018-02-19
Good Friday,TN,2018-03-30
Memorial Day,TN,2018-05-28
Independence Day,TN,2018-07-04
Labor Day,TN,2018-09-03
Columbus Day,TN,2018-10-08
Veterans Day,TN,2018-11-11
Veterans Day (Observed),TN,2018-11-12
Thanksgiving,TN,2018-11-22
Christmas Day,TN,2018-12-25
New Year's Day,TN,2019-01-01
Martin Luther King Jr. Day,TN,2019-01-21
Washington's Birthday,TN,2019-02-18
Good Friday,TN,2019-04-19
Memorial Day,TN,2019-05-27
Independence Day,TN,2019-07-04
Labor Day,TN,2019-09-02
Columbus Day,TN,2019-10-14
Veterans Day,TN,2019-11-11
Thanksgiving,TN,2019-11-28
Christmas Day,TN,2019-12-25
New Year's Day,TN,2020-01-01
Martin Luther King Jr. Day,TN,2020-01-20
Washington's Birthday,TN,2020-02-17
Good Friday,TN,2020-04-10
Memorial Day,TN,2020-05-25
Independence Day (Observed),TN,2020-07-03
Independence Day,TN,2020-07-04
Labor Day,TN,2020-09-07
Columbus Day,TN,2020-10-12
Veterans Day,TN,2020-11-11
Thanksgiving,TN,2020-11-26
Christmas Day,TN,2020-12-25
New Year's Day,TX,2013-01-01
Confederate Memorial Day,TX,2013-01-19
Martin Luther King Jr. Day,TX,2013-01-21
Washington's Birthday,TX,2013-02-18
Texas Independence Day,TX,2013-03-02
Good Friday,TX,2013-03-29
César Chávez Day,TX,2013-03-31
San Jacinto Day,TX,2013-04-21
Memorial Day,TX,2013-05-27
Emancipation Day In Texas,TX,2013-06-19
Independence Day,TX,2013-07-04
Lyndon Baines Johnson Day,TX,2013-08-27
Labor Day,TX,2013-09-02
Columbus Day,TX,2013-10-14
Veterans Day,TX,2013-11-11
Thanksgiving,TX,2013-11-28
Friday After Thanksgiving,TX,2013-11-29
Christmas Eve,TX,2013-12-24
Christmas Day,TX,2013-12-25
Day After Christmas,TX,2013-12-26
New Year's Day,TX,2014-01-01
Confederate Memorial Day,TX,2014-01-19
Martin Luther King Jr. Day,TX,2014-01-20
Washington's Birthday,TX,2014-02-17
Texas Independence Day,TX,2014-03-02
César Chávez Day,TX,2014-03-31
Good Friday,TX,2014-04-18
San Jacinto Day,TX,2014-04-21
Memorial Day,TX,2014-05-26
Emancipation Day In Texas,TX,2014-06-19
Independence Day,TX,2014-07-04
Lyndon Baines Johnson Day,TX,2014-08-27
Labor Day,TX,2014-09-01
Columbus Day,TX,2014-10-13
Veterans Day,TX,2014-11-11
Thanksgiving,TX,2014-11-27
Friday After Thanksgiving,TX,2014-11-28
Christmas Eve,TX,2014-12-24
Christmas Day,TX,2014-12-25
Day After Christmas,TX,2014-12-26
New Year's Day,TX,2015-01-01
"Confederate Memorial Day, Martin Luther King Jr. Day",TX,2015-01-19
Washington's Birthday,TX,2015-02-16
Texas Independence Day,TX,2015-03-02
César Chávez Day,TX,2015-03-31
Good Friday,TX,2015-04-03
San Jacinto Day,TX,2015-04-21
Memorial Day,TX,2015-05-25
Emancipation Day In Texas,TX,2015-06-19
Independence Day (Observed),TX,2015-07-03
Independence Day,TX,2015-07-04
Lyndon Baines Johnson Day,TX,2015-08-27
Labor Day,TX,2015-09-07
Columbus Day,TX,2015-10-12
Veterans Day,TX,2015-11-11
Thanksgiving,TX,2015-11-26
Friday After Thanksgiving,TX,2015-11-27
Christmas Eve,TX,2015-12-24
Christmas Day,TX,2015-12-25
Day After Christmas,TX,2015-12-26
New Year's Day,TX,2016-01-01
Martin Luther King Jr. Day,TX,2016-01-18
Confederate Memorial Day,TX,2016-01-19
Washington's Birthday,TX,2016-02-15
Texas Independence Day,TX,2016-03-02
Good Friday,TX,2016-03-25
César Chávez Day,TX,2016-03-31
San Jacinto Day,TX,2016-04-21
Memorial Day,TX,2016-05-30
Emancipation Day In Texas,TX,2016-06-19
Independence Day,TX,2016-07-04
Lyndon Baines Johnson Day,TX,2016-08-27
Labor Day,TX,2016-09-05
Columbus Day,TX,2016-10-10
Veterans Day,TX,2016-11-11
Thanksgiving,TX,2016-11-24
Friday After Thanksgiving,TX,2016-11-25
Christmas Eve (Observed),TX,2016-12-23
Christmas Eve,TX,2016-12-24
Christmas Day,TX,2016-12-25
"Day After Christmas, Christmas Day (Observed)",TX,2016-12-26
New Year's Day,TX,2017-01-01
New Year's Day (Observed),TX,2017-01-02
Martin Luther King Jr. Day,TX,2017-01-16
Confederate Memorial Day,TX,2017-01-19
Washington's Birthday,TX,2017-02-20
Texas Independence Day,TX,2017-03-02
César Chávez Day,TX,2017-03-31
Good Friday,TX,2017-04-14
San Jacinto Day,TX,2017-04-21
Memorial Day,TX,2017-05-29
Emancipation Day In Texas,TX,2017-06-19
Independence Day,TX,2017-07-04
Lyndon Baines Johnson Day,TX,2017-08-27
Labor Day,TX,2017-09-04
Columbus Day,TX,2017-10-09
Veterans Day (Observed),TX,2017-11-10
Veterans Day,TX,2017-11-11
Thanksgiving,TX,2017-11-23
Friday After Thanksgiving,TX,2017-11-24
Christmas Eve (Observed),TX,2017-12-22
Christmas Eve,TX,2017-12-24
Christmas Day,TX,2017-12-25
Day After Christmas,TX,2017-12-26
New Year's Day,TX,2018-01-01
Martin Luther King Jr. Day,TX,2018-01-15
Confederate Memorial Day,TX,2018-01-19
Washington's Birthday,TX,2018-02-19
Texas Independence Day,TX,2018-03-02
Good Friday,TX,2018-03-30
César Chávez Day,TX,2018-03-31
San Jacinto Day,TX,2018-04-21
Memorial Day,TX,2018-05-28
Emancipation Day In Texas,TX,2018-06-19
Independence Day,TX,2018-07-04
Lyndon Baines Johnson Day,TX,2018-08-27
Labor Day,TX,2018-09-03
Columbus Day,TX,2018-10-08
Veterans Day,TX,2018-11-11
Veterans Day (Observed),TX,2018-11-12
Thanksgiving,TX,2018-11-22
Friday After Thanksgiving,TX,2018-11-23
Christmas Eve,TX,2018-12-24
Christmas Day,TX,2018-12-25
Day After Christmas,TX,2018-12-26
New Year's Day,TX,2019-01-01
Confederate Memorial Day,TX,2019-01-19
Martin Luther King Jr. Day,TX,2019-01-21
Washington's Birthday,TX,2019-02-18
Texas Independence Day,TX,2019-03-02
César Chávez Day,TX,2019-03-31
Good Friday,TX,2019-04-19
San Jacinto Day,TX,2019-04-21
Memorial Day,TX,2019-05-27
Emancipation Day In Texas,TX,2019-06-19
Independence Day,TX,2019-07-04
Lyndon Baines Johnson Day,TX,2019-08-27
Labor Day,TX,2019-09-02
Columbus Day,TX,2019-10-14
Veterans Day,TX,2019-11-11
Thanksgiving,TX,2019-11-28
Friday After Thanksgiving,TX,2019-11-29
Christmas Eve,TX,2019-12-24
Christmas Day,TX,2019-12-25
Day After Christmas,TX,2019-12-26
New Year's Day,TX,2020-01-01
Confederate Memorial Day,TX,2020-01-19
Martin Luther King Jr. Day,TX,2020-01-20
Washington's Birthday,TX,2020-02-17
Texas Independence Day,TX,2020-03-02
César Chávez Day,TX,2020-03-31
Good Friday,TX,2020-04-10
San Jacinto Day,TX,2020-04-21
Memorial Day,TX,2020-05-25
Emancipation Day In Texas,TX,2020-06-19
Independence Day (Observed),TX,2020-07-03
Independence Day,TX,2020-07-04
Lyndon Baines Johnson Day,TX,2020-08-27
Labor Day,TX,2020-09-07
Columbus Day,TX,2020-10-12
Veterans Day,TX,2020-11-11
Thanksgiving,TX,2020-11-26
Friday After Thanksgiving,TX,2020-11-27
Christmas Eve,TX,2020-12-24
Christmas Day,TX,2020-12-25
Day After Christmas,TX,2020-12-26
New Year's Day,UT,2013-01-01
Martin Luther King Jr. Day,UT,2013-01-21
Washington's Birthday,UT,2013-02-18
Memorial Day,UT,2013-05-27
Independence Day,UT,2013-07-04
Pioneer Day,UT,2013-07-24
Labor Day,UT,2013-09-02
Columbus Day,UT,2013-10-14
Veterans Day,UT,2013-11-11
Thanksgiving,UT,2013-11-28
Christmas Day,UT,2013-12-25
New Year's Day,UT,2014-01-01
Martin Luther King Jr. Day,UT,2014-01-20
Washington's Birthday,UT,2014-02-17
Memorial Day,UT,2014-05-26
Independence Day,UT,2014-07-04
Pioneer Day,UT,2014-07-24
Labor Day,UT,2014-09-01
Columbus Day,UT,2014-10-13
Veterans Day,UT,2014-11-11
Thanksgiving,UT,2014-11-27
Christmas Day,UT,2014-12-25
New Year's Day,UT,2015-01-01
Martin Luther King Jr. Day,UT,2015-01-19
Washington's Birthday,UT,2015-02-16
Memorial Day,UT,2015-05-25
Independence Day (Observed),UT,2015-07-03
Independence Day,UT,2015-07-04
Pioneer Day,UT,2015-07-24
Labor Day,UT,2015-09-07
Columbus Day,UT,2015-10-12
Veterans Day,UT,2015-11-11
Thanksgiving,UT,2015-11-26
Christmas Day,UT,2015-12-25
New Year's Day,UT,2016-01-01
Martin Luther King Jr. Day,UT,2016-01-18
Washington's Birthday,UT,2016-02-15
Memorial Day,UT,2016-05-30
Independence Day,UT,2016-07-04
Pioneer Day,UT,2016-07-24
Pioneer Day (Observed),UT,2016-07-25
Labor Day,UT,2016-09-05
Columbus Day,UT,2016-10-10
Veterans Day,UT,2016-11-11
Thanksgiving,UT,2016-11-24
Christmas Day,UT,2016-12-25
Christmas Day (Observed),UT,2016-12-26
New Year's Day,UT,2017-01-01
New Year's Day (Observed),UT,2017-01-02
Martin Luther King Jr. Day,UT,2017-01-16
Washington's Birthday,UT,2017-02-20
Memorial Day,UT,2017-05-29
Independence Day,UT,2017-07-04
Pioneer Day,UT,2017-07-24
Labor Day,UT,2017-09-04
Columbus Day,UT,2017-10-09
Veterans Day (Observed),UT,2017-11-10
Veterans Day,UT,2017-11-11
Thanksgiving,UT,2017-11-23
Christmas Day,UT,2017-12-25
New Year's Day,UT,2018-01-01
Martin Luther King Jr. Day,UT,2018-01-15
Washington's Birthday,UT,2018-02-19
Memorial Day,UT,2018-05-28
Independence Day,UT,2018-07-04
Pioneer Day,UT,2018-07-24
Labor Day,UT,2018-09-03
Columbus Day,UT,2018-10-08
Veterans Day,UT,2018-11-11
Veterans Day (Observed),UT,2018-11-12
Thanksgiving,UT,2018-11-22
Christmas Day,UT,2018-12-25
New Year's Day,UT,2019-01-01
Martin Luther King Jr. Day,UT,2019-01-21
Washington's Birthday,UT,2019-02-18
Memorial Day,UT,2019-05-27
Independence Day,UT,2019-07-04
Pioneer Day,UT,2019-07-24
Labor Day,UT,2019-09-02
Columbus Day,UT,2019-10-14
Veterans Day,UT,2019-11-11
Thanksgiving,UT,2019-11-28
Christmas Day,UT,2019-12-25
New Year's Day,UT,2020-01-01
Martin Luther King Jr. Day,UT,2020-01-20
Washington's Birthday,UT,2020-02-17
Memorial Day,UT,2020-05-25
Independence Day (Observed),UT,2020-07-03
Independence Day,UT,2020-07-04
Pioneer Day,UT,2020-07-24
Labor Day,UT,2020-09-07
Columbus Day,UT,2020-10-12
Veterans Day,UT,2020-11-11
Thanksgiving,UT,2020-11-26
Christmas Day,UT,2020-12-25
New Year's Day,VA,2013-01-01
Lee Jackson Day,VA,2013-01-18
Inauguration Day,VA,2013-01-20
"Martin Luther King Jr. Day, Inauguration Day (Observed)",VA,2013-01-21
Washington's Birthday,VA,2013-02-18
Memorial Day,VA,2013-05-27
Independence Day,VA,2013-07-04
Labor Day,VA,2013-09-02
Columbus Day,VA,2013-10-14
Veterans Day,VA,2013-11-11
Thanksgiving,VA,2013-11-28
Christmas Day,VA,2013-12-25
New Year's Day,VA,2014-01-01
Lee Jackson Day,VA,2014-01-17
Martin Luther King Jr. Day,VA,2014-01-20
Washington's Birthday,VA,2014-02-17
Memorial Day,VA,2014-05-26
Independence Day,VA,2014-07-04
Labor Day,VA,2014-09-01
Columbus Day,VA,2014-10-13
Veterans Day,VA,2014-11-11
Thanksgiving,VA,2014-11-27
Christmas Day,VA,2014-12-25
New Year's Day,VA,2015-01-01
Lee Jackson Day,VA,2015-01-16
Martin Luther King Jr. Day,VA,2015-01-19
Washington's Birthday,VA,2015-02-16
Memorial Day,VA,2015-05-25
Independence Day (Observed),VA,2015-07-03
Independence Day,VA,2015-07-04
Labor Day,VA,2015-09-07
Columbus Day,VA,2015-10-12
Veterans Day,VA,2015-11-11
Thanksgiving,VA,2015-11-26
Christmas Day,VA,2015-12-25
New Year's Day,VA,2016-01-01
Lee Jackson Day,VA,2016-01-15
Martin Luther King Jr. Day,VA,2016-01-18
Washington's Birthday,VA,2016-02-15
Memorial Day,VA,2016-05-30
Independence Day,VA,2016-07-04
Labor Day,VA,2016-09-05
Columbus Day,VA,2016-10-10
Veterans Day,VA,2016-11-11
Thanksgiving,VA,2016-11-24
Christmas Day,VA,2016-12-25
Christmas Day (Observed),VA,2016-12-26
New Year's Day,VA,2017-01-01
New Year's Day (Observed),VA,2017-01-02
Lee Jackson Day,VA,2017-01-13
Martin Luther King Jr. Day,VA,2017-01-16
Inauguration Day,VA,2017-01-20
Washington's Birthday,VA,2017-02-20
Memorial Day,VA,2017-05-29
Independence Day,VA,2017-07-04
Labor Day,VA,2017-09-04
Columbus Day,VA,2017-10-09
